Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.8940e+01,-0.304,-0.32,-13.2,-13.4
-1.8932e+01,-0.304,-0.288,-13.2,-13
-1.8925e+01,-0.304,-0.32,-13.2,-13.4
-1.8917e+01,-0.304,-0.288,-13.2,-13
-1.8909e+01,-0.304,-0.312,-13.2,-13.4
-1.8902e+01,-0.304,-0.288,-13.2,-13
-1.8894e+01,-0.304,-0.32,-13.2,-13.4
-1.8886e+01,-0.304,-0.288,-13.2,-13
-1.8879e+01,-0.296,-0.32,-13.2,-13.4
-1.8871e+01,-0.296,-0.288,-13.2,-13
-1.8863e+01,-0.296,-0.312,-13.2,-13.4
-1.8856e+01,-0.296,-0.288,-13.2,-13
-1.8848e+01,-0.296,-0.312,-13.2,-13.4
-1.8840e+01,-0.296,-0.288,-13.2,-13
-1.8833e+01,-0.296,-0.312,-13.2,-13.4
-1.8825e+01,-0.296,-0.288,-13.2,-13
-1.8817e+01,-0.296,-0.312,-13.2,-13.4
-1.8810e+01,-0.296,-0.288,-13.2,-13
-1.8802e+01,-0.296,-0.312,-13.2,-13.4
-1.8794e+01,-0.296,-0.288,-13.2,-13
-1.8786e+01,-0.296,-0.312,-13.2,-13.4
-1.8779e+01,-0.296,-0.288,-13.2,-13
-1.8771e+01,-0.296,-0.312,-13.2,-13.4
-1.8763e+01,-0.296,-0.28,-13.2,-13
-1.8756e+01,-0.296,-0.312,-13.2,-13.4
-1.8748e+01,-0.296,-0.28,-13.2,-13
-1.8740e+01,-0.296,-0.312,-13.2,-13.6
-1.8733e+01,-0.296,-0.28,-13.2,-13
-1.8725e+01,-0.296,-0.304,-13.2,-13.6
-1.8717e+01,-0.296,-0.28,-13.2,-13
-1.8710e+01,-0.296,-0.312,-13.2,-13.6
-1.8702e+01,-0.296,-0.28,-13.2,-13
-1.8694e+01,-0.296,-0.312,-13.4,-13.6
-1.8687e+01,-0.296,-0.28,-13.4,-13
-1.8679e+01,-0.296,-0.304,-13.4,-13.6
-1.8671e+01,-0.296,-0.28,-13.4,-13
-1.8664e+01,-0.296,-0.304,-13.4,-13.6
-1.8656e+01,-0.296,-0.28,-13.4,-13
-1.8648e+01,-0.296,-0.304,-13.4,-13.6
-1.8641e+01,-0.296,-0.28,-13.4,-13
-1.8633e+01,-0.296,-0.304,-13.4,-13.6
-1.8625e+01,-0.296,-0.28,-13.4,-13.2
-1.8618e+01,-0.288,-0.304,-13.4,-13.6
-1.8610e+01,-0.288,-0.28,-13.4,-13
-1.8602e+01,-0.288,-0.304,-13.4,-13.6
-1.8594e+01,-0.288,-0.28,-13.4,-13.2
-1.8587e+01,-0.288,-0.304,-13.4,-13.6
-1.8579e+01,-0.288,-0.28,-13.4,-13.2
-1.8571e+01,-0.288,-0.304,-13.4,-13.6
-1.8564e+01,-0.288,-0.28,-13.4,-13.2
-1.8556e+01,-0.288,-0.304,-13.4,-13.6
-1.8548e+01,-0.288,-0.272,-13.4,-13.2
-1.8541e+01,-0.288,-0.304,-13.4,-13.6
-1.8533e+01,-0.288,-0.272,-13.4,-13.2
-1.8525e+01,-0.288,-0.304,-13.4,-13.6
-1.8518e+01,-0.288,-0.272,-13.4,-13.2
-1.8510e+01,-0.288,-0.304,-13.4,-13.6
-1.8502e+01,-0.288,-0.28,-13.4,-13.2
-1.8495e+01,-0.288,-0.304,-13.4,-13.6
-1.8487e+01,-0.288,-0.28,-13.4,-13.2
-1.8479e+01,-0.288,-0.304,-13.4,-13.6
-1.8472e+01,-0.288,-0.272,-13.4,-13.2
-1.8464e+01,-0.288,-0.304,-13.4,-13.6
-1.8456e+01,-0.288,-0.28,-13.4,-13.2
-1.8449e+01,-0.288,-0.304,-13.4,-13.6
-1.8441e+01,-0.288,-0.272,-13.4,-13.2
-1.8433e+01,-0.288,-0.304,-13.4,-13.6
-1.8425e+01,-0.288,-0.272,-13.4,-13.2
-1.8418e+01,-0.288,-0.304,-13.4,-13.8
-1.8410e+01,-0.288,-0.272,-13.4,-13.2
-1.8402e+01,-0.288,-0.304,-13.4,-13.6
-1.8395e+01,-0.288,-0.272,-13.4,-13.2
-1.8387e+01,-0.288,-0.304,-13.4,-13.6
-1.8379e+01,-0.288,-0.272,-13.4,-13.2
-1.8372e+01,-0.288,-0.304,-13.4,-13.8
-1.8364e+01,-0.288,-0.272,-13.4,-13.2
-1.8356e+01,-0.288,-0.304,-13.4,-13.8
-1.8349e+01,-0.288,-0.272,-13.4,-13.2
-1.8341e+01,-0.288,-0.304,-13.4,-13.8
-1.8333e+01,-0.288,-0.272,-13.4,-13.2
-1.8326e+01,-0.288,-0.296,-13.4,-13.8
-1.8318e+01,-0.288,-0.272,-13.6,-13.2
-1.8310e+01,-0.288,-0.304,-13.6,-13.8
-1.8303e+01,-0.288,-0.272,-13.6,-13.2
-1.8295e+01,-0.288,-0.296,-13.6,-13.8
-1.8287e+01,-0.288,-0.272,-13.6,-13.2
-1.8280e+01,-0.288,-0.296,-13.6,-13.8
-1.8272e+01,-0.288,-0.272,-13.6,-13.2
-1.8264e+01,-0.288,-0.296,-13.6,-13.8
-1.8257e+01,-0.288,-0.272,-13.6,-13.2
-1.8249e+01,-0.288,-0.296,-13.6,-13.8
-1.8241e+01,-0.288,-0.272,-13.6,-13.2
-1.8233e+01,-0.288,-0.296,-13.6,-13.8
-1.8226e+01,-0.288,-0.272,-13.6,-13.2
-1.8218e+01,-0.288,-0.296,-13.6,-13.8
-1.8210e+01,-0.288,-0.272,-13.6,-13.4
